Specified points                        	H:\PRIMO\Prominent Hill\All COGs 030109\SB30\COG50\ph access COG50 30m levels.csv
Min turning circle radius               	25 m
Max gradient                            	1:7
Development cost rate of decline        	5000 $/m
Development cost rate of crosscut       	5000 $/m
Haulage cost rate along decline         	1.8 $/t km
Haulage cost rate along crosscut        	1 $/t km
Curvature penalty                       	0 %
Optimization level                      	13
Min straight length between opp curves  	0 m
Min straight length at top of declines  	20 m
Lateral offset penalty                  	0 $/m
Spacing between calculated points       	2 m

		Group	 Decline x	 Decline y	 Decline z	Brng (°)	Description	Length (m)	Gradient	Devel ($)	 Haul ($)	Total ($)	
		  108	 55800.000	 12031.811	  9500.000	    30.0	8 E        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSLS       	     50.81	 1:10.72 	   254054	     4318	   258371	
		  308	 55794.475	 11983.750	  9504.718	   349.6	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  107	 55800.000	 12031.811	  9470.000	     0.0	7 E        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSLSLS     	    132.75	 1:7.00  	   663728	   728661	  1392389	
		  307	 55812.905	 12060.879	  9488.773	   106.0	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  106	 55800.000	 12031.811	  9440.000	    90.0	6 E        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSRS       	     82.48	 1:-7.63 	   412398	     5874	   418272	
		  306	 55778.231	 12099.161	  9429.285	   186.9	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  105	 55800.000	 12031.811	  9410.000	    45.0	5 E        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSRS       	    132.84	 1:57.40 	   664194	        0	   664194	
		  305	 55726.802	 12046.229	  9412.314	   195.7	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  104	 55800.000	 12031.811	  9380.000	    90.0	4 E        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSLS       	     41.46	 1:-7.37 	   207322	    27622	   234943	
		  304	 55759.449	 12025.935	  9374.428	    77.6	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  103	 55800.000	 12031.811	  9350.000	    75.0	3 E        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSLS       	     89.78	 1:-43.88	   448901	        0	   448901	
		  303	 55712.501	 12011.985	  9347.955	    74.1	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  102	 55800.000	 12031.811	  9320.000	    45.0	2 E        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	LSRSLS     	    132.47	 1:-7.00 	   662344	    23590	   685934	
		  302	 55716.453	 12050.447	  9301.266	   136.3	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		  101	 55800.000	 12031.811	  9290.000	    90.0	1 E        	      0.00	         	        0	        0	        0	
		     	          	          	          	        	RSRS       	     73.57	 1:11.97 	   367853	     3908	   371761	
		  301	 55744.898	 12071.731	  9296.126	   154.6	           	      0.00	         	        0	        0	        0	
		-----	----------	----------	----------	--------	-----------	----------	---------	---------	---------	---------	
		Total	          	          	          	        	           	   6328.67	 1:7.89  	 31643353	148418445	180061797	
